date,code,momentum,volatility,rsi
2022-04-14,002563,0.6807273024096809,-0.5339360764740809,0.025420392111462943
2022-04-15,002563,0.36972526613791545,-0.6702687227345013,0.13862795717571438
2022-04-18,002563,0.21353731023300637,-0.7069590468533751,-0.012906011666820717
2022-04-19,002563,0.12736448909162829,-0.7587696607786815,0.1952006388823111
2022-04-20,002563,0.23775296376893806,-0.6876070449296621,0.5670123216364161
2022-04-21,002563,0.04563885028416744,-0.6031009861504124,0.036358834652122515
2022-04-22,002563,0.5129902176240344,-0.3114078997003112,0.30945527135381795
2022-04-25,002563,-0.22977469368789857,0.4484167078503818,-0.6569484866575782
2022-04-26,002563,-0.7421108097107473,0.6339909882961686,-0.9292321359347642
2022-04-27,002563,-0.7421108097107473,0.6339909882961686,-0.7519581004420486
2022-04-28,002563,-0.8240736995148553,0.6384542675181445,-0.7405264624195197
2022-04-29,002563,-0.1928968569755018,1.2989251991826407,0.16306652592865448
2022-05-05,002563,-0.7894019635846262,1.3574654921698317,-0.29715936029857826
2022-05-06,002563,-0.919850238595779,1.34722585169148,-0.1824463049733254
2022-05-09,002563,-0.8925084193965581,1.3485349149806838,-0.28764256239438546
2022-05-10,002563,-0.6676232963046075,1.3065634650602933,-0.29946997988622676
2022-05-11,002563,-0.5962698821231704,1.30071457404537,-0.3228051549378984
2022-05-12,002563,-0.47694229577779856,1.2847688388561862,-0.45715644911078795
2022-05-13,002563,-0.6099989187003234,1.2493852135440067,-0.6475659256720354
2022-05-16,002563,-0.5444909160129692,1.2301280691391272,-0.6031677378496716
2022-05-17,002563,-0.8126203349485153,1.2305779543166797,-1.268493828890885
2022-05-18,002563,-0.6830017701001754,1.2559772250918293,-0.4567698450337912
2022-05-19,002563,-0.7640133731303886,1.2578165451993741,-0.014423560596230975
2022-05-20,002563,-0.7378925216590483,1.2656997253795699,0.17925813291937373
2022-05-23,002563,-0.9056936655410048,1.212491583780722,0.3734378647552839
2022-05-24,002563,-0.9917989392976925,1.2452959824120797,-1.5637193466015427
2022-05-25,002563,-1.292694509584238,1.0538959972257258,-0.8902183616584068
2022-05-26,002563,-0.40293308533857947,0.6116144755835831,-0.2562444915373212
2022-05-27,002563,-0.02013324467685495,0.40327932569504904,-0.3787296039294602
2022-05-30,002563,0.20904297571930774,0.4579279408754704,0.1095096649539649
2022-05-31,002563,0.39027297068227085,0.443769894834955,0.28946070967735144
2022-06-01,002563,-0.4083442850776629,-0.512572658654879,0.35434101819553737
2022-06-02,002563,-0.0025043046463814693,-0.7916089413832417,0.29695866968470513
2022-06-06,002563,0.11762432956127737,-0.7979602032328378,0.7093464799387983
2022-06-07,002563,0.1347855630195146,-0.7978760139171652,1.1832916173015402
2022-06-08,002563,0.049084679369177424,-0.7745890758205889,0.6789749948435291
2022-06-09,002563,0.03202959430448525,-0.7713135718096549,0.7716671870671726
2022-06-10,002563,0.1362009224799875,-0.7661500609749258,0.6436109372489165
2022-06-13,002563,-0.03696743741087346,-0.739576266407404,0.26331397545078106
2022-06-14,002563,0.22571502130136373,-0.7734789210029186,1.3181360813465606
2022-06-15,002563,0.5533147491502509,-0.8265680290078404,1.4190125695637485
2022-06-16,002563,0.3677034359935766,-0.8513452415313513,0.980240522869168
2022-06-17,002563,0.4785192518207303,-0.8786033371954425,1.2786831148450841
2022-06-20,002563,0.34787087845929204,-0.9128412124462472,0.8114463581379835
2022-06-21,002563,0.3987552411509852,-0.9035350371453452,0.8593056786774412
2022-06-22,002563,0.48576046664926437,-1.0130221232097947,0.0603427103123473
2022-06-23,002563,0.4995258084602539,-1.0093730356461454,0.24793354316491553
2022-06-24,002563,0.2777958418381577,-1.0896037320976846,0.061903566147804574
2022-06-27,002563,0.42147911020418105,-1.1041284572803878,0.2003940287896937
2022-06-28,002563,0.2554406154314149,-1.231633459943826,0.6718566767277551
2022-06-29,002563,0.2021773439021653,-1.2420202321242624,0.8834926494910579
2022-06-30,002563,0.236290951993591,-1.2408763292035303,0.8093192796227551
2022-07-01,002563,0.5592308067295134,-0.9685347410088826,1.7939829115061054
2022-07-04,002563,0.42048384397213706,-0.943575585081614,1.3591696949326273
2022-07-05,002563,0.3858633681936407,-0.9403606150420865,1.0784768254820358
2022-07-06,002563,0.33932514228598326,-0.9106425584635824,0.692684344785501
2022-07-07,002563,0.20385163141585597,-0.8337698824162239,0.1826604952490088
2022-07-08,002563,0.1339501277193176,-0.8414174890883652,0.14653662795979974
2022-07-11,002563,0.326242780736718,-0.8737189261669225,0.10950966398994165
2022-07-12,002563,0.04877011239347314,-0.8234568629381364,0.22636099142340405
2022-07-13,002563,-0.1875024013261769,-0.8445149791605919,-0.1980989593354741
2022-07-14,002563,-0.18824536556987115,-0.8444289217116699,-0.23216953462851128
2022-07-15,002563,-0.8113864908943486,-0.21065843441625887,-1.2144544769572287
2022-07-18,002563,-0.6920426649983463,-0.16387438051205697,-1.0640841040032607
2022-07-19,002563,-0.6519125648184798,-0.14612362049033803,-0.8571694998756111
2022-07-20,002563,-0.463974058005072,-0.19860297992738843,-0.9402047615587003
2022-07-21,002563,-0.6454462905465292,-0.2072616588259256,-1.814495214649257
2022-07-22,002563,-0.6976034582269904,-0.2052062650842288,-1.8042554127809478
2022-07-25,002563,-0.8770407616781399,-0.21012640459496792,-1.8629267099758307
2022-07-26,002563,-0.8700999961461435,-0.20745248638433714,-1.5881416993637805
2022-07-27,002563,-0.8350789971747129,-0.198285403993886,-1.2982706161850746
2022-07-28,002563,-0.8815521013138692,-0.20603355756642597,-1.314345401981233
2022-07-29,002563,-1.2630571455730517,-0.4381791516829788,-1.5830991706433426
2022-08-01,002563,-1.1784761835757658,-0.42704562069533253,-1.390082373790379
2022-08-02,002563,-1.4228351812666908,-0.3440659731205613,-1.5371012008890694
2022-08-03,002563,-1.3656827514168899,-0.35218574474725794,-1.5631122241495594
2022-08-04,002563,-1.1941995382034003,-0.36070160163410914,-0.8032854902319861
2022-08-05,002563,-1.043139579020117,-0.27953275768375696,-0.7474000726156969
2022-08-08,002563,-0.8850334787264138,-0.16661892572537063,-0.4429716134384856
2022-08-09,002563,-0.9538260139272393,-0.13229737370438202,-0.7766129036554399
2022-08-10,002563,-0.8795170329108875,-0.13571007657404205,-0.6493200419063024
2022-08-11,002563,-0.7104492331391585,-0.08308659209255052,-0.20075075731198766
